STRAT,year,statewide,sex,newage,race,risk,deaths,aidsdx,hivdx,plwdh
1Total,2008,Statewide,Total,Total,Total,Total,2616,3839,4545,108525
1Total,2009,Statewide,Total,Total,Total,Total,2490,3427,4471,109525
1Total,2010,Statewide,Total,Total,Total,Total,2315,2877,4111,110258
1Total,2011,Statewide,Total,Total,Total,Total,2277,2622,3949,110629
1Total,2012,Statewide,Total,Total,Total,Total,2104,2267,3682,111634
1Total,2013,Statewide,Total,Total,Total,Total,2082,2057,3394,112307
1Total,2014,Statewide,Total,Total,Total,Total,2023,1594,3457,112891
1Total,2015,Statewide,Total,Total,Total,Total,1911,1489,3179,112669
1Total,2016,Statewide,Total,Total,Total,Total,1896,1522,2892,113167
1Total,2017,Statewide,Total,Total,Total,Total,1544,1331,2769,111454